Drug Modality	Location	P-value	Odds Ratio	Significance
Antibody	Cellular component	0.0001480444900162528	1.1332726486040037	True
Antibody	Centriolar satellite	0.03230581078547317	0.2554127654366318	True
Antibody	Centrosome	7.82917060431935e-06	0.10979575152625957	True
Antibody	Cytoplasmic ribonucleoprotein granule	0.04645079016303747	0.0	True
Antibody	Cytoskeleton	1.3157714666601545e-110	4.524657891164847	True
Antibody	Cytosol	1.2819745864692525e-11	0.5907341569106275	True
Antibody	Endoplasmic reticulum	2.5142558740175857e-10	2.150692960220024	True
Antibody	Endosome	0.02338933001963321	19.958949880668257	True
Antibody	Lysosome	0.04396125754793399	9.979236276849642	True
Antibody	Midbody	0.005718591386382601	0.0	True
Antibody	Mitochondrion	1.2597533060459998e-14	0.11565056886048734	True
Antibody	Nuclear body	0.0004168286715854323	0.2616557515115709	True
Antibody	Nucleoplasm	3.868196605801234e-18	0.4690051930114684	True
Antibody	Nucleus membrane	0.0030357973386776786	0.3297653583505133	True
Antibody	Nucleus speckle	0.003994799686872379	0.38444130388597925	True
Antibody	Spindle	2.864578592598674e-77	5.608831506326633	True
Antibody	Vesicle	1.637204923916047e-06	0.6166439775682705	True
Enzyme	Cellular component	0.004052078408875375	0.6316637999459065	True
Enzyme	Cytoskeleton	0.011041847548026784	0.0	True
Enzyme	Endoplasmic reticulum	1.6726739342884815e-16	12.769859154929577	True
Enzyme	Vesicle	5.6190567514159965e-12	5.677660977217786	True
Gene	Cellular component	0.047357319086715935	2.0105351394849786	True
Gene	Nuclear body	0.017048865375672805	10.539320667818076	True
Oligonucleotide	Cell membrane	0.00081151321119999	0.3662750814611559	True
Oligonucleotide	Cytoskeleton	1.4156783697214997e-05	0.0	True
Oligonucleotide	Endoplasmic reticulum	0.016688251333023908	0.0	True
Oligonucleotide	Nucleoplasm	0.014421949996482985	1.6202462777243793	True
Oligonucleotide	Nucleus speckle	0.007768128168467808	3.623604465709729	True
Oligonucleotide	Spindle	0.007636082733210859	0.0	True
Oligosaccharide	Cellular component	0.0015387453881550845	3.9129857502095557	True
Protein	Cell membrane	0.0029604205594989195	1.3330263692300341	True
Protein	Cellular component	0.004690024351167948	1.1623099029636168	True
Protein	Centriolar satellite	2.354290298301982e-10	8.127933245140937	True
Protein	Cytoplasmic ribonucleoprotein granule	0.002155816885708717	5.052541697500996	True
Protein	Cytoskeleton	0.02789599474693804	0.6856913592826575	True
Protein	Cytosol	0.0007924691477887496	0.6640537245749848	True
Protein	Mitochondrion	0.028922449289218125	0.48706840238320026	True
Protein	Nucleolus	3.387272536740901e-05	0.22281408671408365	True
Protein	Nucleoplasm	0.03280080194268883	0.7669381107491857	True
Protein	Nucleus speckle	0.0019956756242475353	2.3947291324340503	True
Protein	Vesicle	1.7476310277681312e-08	1.9105383182317097	True
Small molecule	Cell membrane	6.565869272390222e-28	1.691839696430358	True
Small molecule	Cellular component	0.0	21.284820453009573	True
Small molecule	Centrosome	2.044540757884137e-06	3.668568353067815	True
Small molecule	Cytoskeleton	2.9029243888184727e-47	0.42758452887318865	True
Small molecule	Cytosol	5.776601590940659e-38	1.916069001809135	True
Small molecule	Endoplasmic reticulum	6.93534633341752e-49	0.2680197174119838	True
Small molecule	Endosome	0.004763133281721884	0.0	True
Small molecule	Lysosome	0.0166590268861207	0.06743158830140351	True
Small molecule	Midbody	3.1615306646076886e-05	inf	True
Small molecule	Midbody ring	0.00432840388763368	inf	True
Small molecule	Mitochondrion	1.6755928638264338e-22	5.200271528503271	True
Small molecule	Nuclear body	0.00029747150174489455	2.374512577790615	True
Small molecule	Nucleoplasm	9.675712648425044e-71	2.8219338598301245	True
Small molecule	Nucleus membrane	0.00014173585039909311	2.619108253976589	True
Small molecule	Spindle	9.489815174018116e-50	0.2918820132013201	True
Small molecule	Vesicle	5.667601543025875e-07	1.3897663603319683	True
Unknown	Cell junction	0.040343843821453396	0.3651024732362928	True
Unknown	Cell membrane	7.446852988352544e-05	0.5842036532107503	True
Unknown	Cellular component	7.922700378164125e-08	0.7363706898431329	True
Unknown	Centrosome	0.011524745566743863	0.0	True
Unknown	Cytoskeleton	9.756376565732568e-05	1.70555588100901	True
Unknown	Cytosol	1.1230524343272172e-13	2.050837460827299	True
Unknown	Endoplasmic reticulum	1.2571404932203328e-65	9.672637457836434	True
Unknown	Focal adhesion	0.01678846082828318	0.0	True
Unknown	Mitochondrion	0.0004484104320164475	0.19646186911732008	True
Unknown	Nucleolus	2.545003829564699e-16	3.783776080264508	True
Unknown	Nucleolus fibrillar center	0.005181443211716331	3.570878379922745	True
Unknown	Nucleoplasm	2.4046288841513902e-05	0.5262544676545954	True
Unknown	Nucleus speckle	0.0033555605630074064	0.0	True
Unknown	Spindle	0.000395543929454036	1.9465957845743214	True
Unknown	Vesicle	0.0006171039452937122	0.520304556280858	True
